,,Spelling Error Legend:,Needs !? or .,Double blanks,Double blank?,"and and, the the"
loading_screen_tip_19_desc,"Установка добытчика рядом с ресурсной жилой всегда быстрее и эффективнее, чем поручение работы исследователям!",,,,,
loading_screen_tip_20_header,Подсказка #20,,,,,
loading_screen_tip_20_desc,Ходить пешком чтобы куда-то добраться - это очень старомодно. Установите телепорт между двумя точками и мгновенно прибудьте в нужную точку!,,,,,
loading_screen_tip_21_header,Подсказка #21,,,,,
loading_screen_tip_21_desc,Ходить медленно - значит работать медленно а это не поможет! Настройте скоростные вентиляционные отверстия <br>в коридорах и наблюдайте как ваши Стимботы мчатся вперед к своим задачам!,,,,,
loading_screen_tip_22_header,Подсказка #22,,,,,
loading_screen_tip_22_desc,Никогда не недооценивайте полезность предметов! Они могут повысить эффективность ваших зданий!,,,,,
loading_screen_tip_23_header,Подсказка #23,,,,,
loading_screen_tip_23_desc,Никогда не недооценивайте полезность оборудования! Это может повысить эффективность вашей рабочей силы в шахте!,,,,,
loading_screen_tip_24_header,Подсказка #24,,,,,
loading_screen_tip_24_desc,"Если вам вдруг не хватит каких-то определенных ресурсов всегда есть возможность торговать с железнодорожной станции!",,,,,
loading_screen_tip_25_header,Подсказка #25,,,,,
loading_screen_tip_25_desc,Не забывайте следить за своими ресурсами. Вы можете найти всю необходимую информацию в окне администрирования!,,,,,
loading_screen_tip_26_header,Подсказка #26,,,,,
loading_screen_tip_26_desc,"Не нравится расположение здания? Используйте инструмент перемещения, чтобы переставить его в нужное место! Совершенно бесплатно!",,,,,
loading_screen_tip_27_header,Подсказка #27,,,,,
loading_screen_tip_27_desc,"Перекати поле не просто мусор! Взаимодействуйте с ними и вы можете быть удивлены тем, что найдете в них!",,,,,
loading_screen_tip_28_header,Подсказка #28,,,,,
loading_screen_tip_28_desc,"Единственный способ справиться с распространяющимися ползунами - оснастить своих гвардейцев огнеметами, чтобы они могли сжечь их!",,,,,
loading_screen_tip_29_header,Подсказка #29,,,,,
loading_screen_tip_29_desc,Конвейерные ленты могут проходить весь путь от добытчиков до шахты чтобы полностью автоматизировать процесс сбора ресурсов!,,,,,
loading_screen_tip_30_header,Подсказка #30,,,,,
loading_screen_tip_30_desc,"Повышение уровня одного жилища до другого приведет к тому, что вы потеряете рабочую силу более низкого уровня и получите более высокого уровня.",,,,,
,,,,,,
general_words_ok,Ок,,,,,
general_words_yes,Да,,,,,
general_words_no,Нет,,,,,
general_words_confirm,Подтвердить,,,,,
general_words_cancel,Отменить,,,,,
general_words_submit,Отправить,,,,,
general_words_unlocked,Разблокировано,,,,,
,,,,,,
options_button_presentation,Демонстрация,,,,,
options_button_graphics,Графика,,,,,
options_button_key_bindings,Назначение клавиш,,,,,
options_button_audio,Аудио,,,,,
options_button_language,Языки,,,,,
options_button_back,Назад,,,,,
options_button_accessibility,Спец. Возможности,,,,,
options_button_reset,Сбросить,,,,,
,,,,,,
options_language_header,Язык,,,,,
options_language_dropdown_header,Язык,,,,,
options_language_dropdown_english,Английский,,,,,
options_language_dropdown_spanish,Испанский,,,,,
options_language_dropdown_french,Французкий,,,,,
options_language_dropdown_german,Немецкий,,,,,
options_language_dropdown_italian,Итальянский,,,,,
options_language_dropdown_portuguese_brazil,Бразильский португальский,,,,,
options_language_dropdown_french_canadian,Канадский Французкий,,,,,
options_language_dropdown_russian,Русский,,,,,
options_language_dropdown_chinese_simplified,Упрощенный Китайский,,,,,
options_language_dropdown_japanese,Японский,,,,,
options_language_dropdown_korean,Корейский,,,,,
,,,,,,
,,,,,,
options_presentation_header,Демонстрация,,,,,
options_presentation_resolution_header,Разрешение,,,,,
options_presentation_screenmode_header,Режим экрана,,,,,
options_presentation_screenmode_full,Полноэкранный,,,,,
options_presentation_screenmode_boarderless,Оконный без рамок,,,,,
options_presentation_screenmode_window,Оконный,,,,,
options_presentation_vsync_header,Вертикальная синхронизация,,,,,
options_presentation_next_gen_mode_header,Графический режим,,,,,
options_presentation_next_gen_mode_performance,Производительность,,,,,
options_presentation_next_gen_mode_fidelity,Качество,,,,,
options_presentation_brightness_city,Контрастность Города,,,,,
options_presentation_brightness_mine,Контрастность Шахты,,,,,
options_presentation_lod_bias,Разрешение Лода,,,,,
,,,,,,
options_graphics_header,Графика,,,,,
options_graphics_preset_header,Настройки качества,,,,,
options_graphics_preset_low,Низкие,,,,,
options_graphics_preset_medium,Средние,,,,,
options_graphics_preset_high,Высокие,,,,,
options_graphics_preset_custom,Персональные,,,,,
options_graphics_shadows_header,Качество теней,,,,,
options_graphics_textures_header,Качество текстур,,,,,
options_graphics_soft_particles_header,Мягкие частицы,,,,,
options_graphics_bloom_header,Размытие,,,,,
options_graphics_motionblur_header,Размытие в движении,,,,,
options_graphics_ambientocclusion_header,Окружающая окклюзия,,,,,
options_graphics_tiltshift_header,Резкость,,,,,
,,,,,,
options_graphic_effect_off,Отключено,,,,,
options_graphic_effect_low,Низкое,,,,,
options_graphic_effect_med,Среднее,,,,,
options_graphic_effect_high,Высокое,,,,,
,,,,,,
options_key_bind_header,Назначение клавиш,,,,,
options_key_bind_sub_header_click_to_rebind,Нажмите для изменения назначения клавиши,,,,,
options_key_bind_sub_header_press_key,Установите новое назначение,,,,,
options_key_bind_button_reset,Установить по умолчанию,,,,,
options_key_bind_binding_ongoing,Нажмите кнопку,,,,,
,,,,,,
options_audio_header,Аудио,,,,,
options_audio_master_header,Общая громкость,,,,,
options_audio_music_header,Громкость музыки,,,,,
options_audio_fx_header,Громкость звуковых эффектов,,,,,
options_audio_ambience_header,Громкость окружения,,,,,
options_audio_dialogue_header,Громкость диалогов,,,,,
options_audio_use_gibberish,Использовать язык стимботов,,,,,
,,,,,,
options_accessibility_header,Специальные Возможности,,,,,
options_accessibility_tutorial,Обучение,,,,,
options_accessibility_tutorial_new_player,Опыт нового игрока,,,,,
options_accessibility_invert_camera,Инвертирование камеры,,,,,
options_accessibility_camera_edge_pan,Панорамирование края камеры,,,,,
options_accessibility_camera_speed,Скорость камеры,,,,,
options_accessibility_auto_save,Интервал автосохранения,,,,,
options_accessibility_auto_save_off,Отключено,,,,,
options_accessibility_auto_save_option_1,10 мин,,,,,
options_accessibility_auto_save_option_2,20 мин,,,,,
options_accessibility_auto_save_option_3,30 мин,,,,,
options_accessibility_wiggle_amount,Интенсивность покачивания,,,,,
,,,,,,
options_hotkey_header,Тип горячей клавиши,,,,,
options_hotkey_playstation,Playstation,,,,,
options_hotkey_xbox,Xbox,,,,,
,,,,,,
,,,,,,
input_actions_confirm,Потвердить,,,,,
input_actions_cancel,Отменить,,,,,
input_actions_enable_camera_orbit,Вращать камеру по оси,,,,,
input_actions_move_horizontal_negative,Движение влево,,,,,
input_actions_move_horizontal_positive,Движение вправо,,,,,
input_actions_move_vertical_negative,Движение назад,,,,,
input_actions_move_vertical_positive,Движение вперед,,,,,
input_actions_zoom_positive,Увелечение,,,,,
input_actions_zoom_negative,Удаление,,,,,
input_actions_rotate_building,Вращать здание,,,,,
input_actions_rotate_horizontal_negative,Повернуть камеру налево,,,,,
input_actions_rotate_horizontal_positive,Повернуть камеру направо,,,,,
input_actions_rotate_vertical_negative,Повернуть камеру вниз,,,,,
input_actions_rotate_vertical_positive,Повернуть камеру вверх,,,,,
input_actions_move_floor_down,На этаж ниже,,,,,
input_actions_move_floor_up,На этаж выше,,,,,
input_actions_move_floor_0,Переместиться в город,,,,,
input_actions_move_floor_1,Переместиться на первый этаж шахты,,,,,
input_actions_move_floor_2,Переместиться на второй этаж шахты,,,,,
input_actions_move_floor_3,Переместиться на третий этаж шахты,,,,,
input_actions_move_floor_4,Переместиться на четвертый этаж шахты,,,,,
input_actions_toggle_pause,Открыть Меню Паузы,,,,,
,,,,,,
,,,,,,
,,,,,,
load_game_file_button_time_played,Время игры: {0},,,,,
load_game_file_button_Difficulty,Сложность: {0},,,,,
,,,,,,
pause_menu_header,Игра приостановлена,,,,,
pause_menu_resume,Продолжить,,,,,
pause_menu_save,Сохранить,,,,,
pause_menu_quit_menu,Выйти в меню,,,,,
pause_menu_quit_game_promt,"Если вы бросите сейчас, то потеряете весь несохраненный прогресс!",,,,,
pause_menu_quit_desktop,Выйти на рабочий стол,,,,,
pause_menu_quit_promt_button_save_and_quit,Сохраниться & Выйти,,,,,
pause_menu_quit_promt_button_quit,Покинуть,,,,,
pause_menu_quit_promt_button_cancel,Отмена,,,,,
,,,,,,
promt_messages_save_new,Введите имя вашего нового сохранения,,,,,
prompt_messages_save_done,Успешно Сохраненно!,,,,,
prompt_messages_save_failed,Сохранить не удалось!,,,,,
prompt_messages_cant_save_empty_name,Вы не можете Сохраниться не вводя название!,,,,,
prompt_messages_skip_cutscene,Пропуск,,,,,
,,,,,,
inputfield_placeholder_text,Введите текст...,,,,,
,,,,,,
tool_destroy_promt_msg_building_no_refund,Вы дейтвительно хотите снести эту постройку?,,,,,
tool_destroy_promt_msg_building,Вы дейтвительно хотите снести эту постройку?<br><br>Вы получите возмещение:,,,,,
tool_destroy_promt_msg_room_no_refund,Вы дейтвительно хотите снести эту чать станции?,,,,,
tool_destroy_promt_msg_room,Вы дейтвительно хотите снести эту чать станции?<br><br>Вы получите возмещение:,,,,,
tool_ui_generic_construction_costs,Стоимость:,,,,,
,,,,,,
info_ui_generic_upkeeps,Обслуживание:,,,,,
info_ui_generic_taxes,Налоги:,,,,,
info_ui_generic_costs,Расходы:,,,,,
info_ui_generic_income,Начисления:,,,,,
info_ui_generic_balance,Баланс:,,,,,
info_ui_generic_storage,Склад:,,,,,
info_ui_generic_conversion,Производство:,,,,,
info_ui_generic_total,Всего:,,,,,
info_ui_generic_city_upkeep,Содержание города:,,,,,
info_ui_generic_mine_upkeep,Содержание шахты:,,,,,
info_ui_generic_steam_desc,[OUTDATED]Steam is needed for production and miners to reach their highest efficiency. Keep an eye out and try to always have enough so the slider is more then half full. ,,,,,
info_ui_generic_resource_toggle_desc,[OUTDATED]This arrow can be toggled to display all unlocked resources or only display the ones with a checkmark. By pressing each individual resource the checkmark will be toggled.,,,,,
info_ui_generic_generates,Может Принести:,,,,,
,,,,,,
info_ui_staple_office_stability_header,[OUTDATED]Stability,,,,,
info_ui_cracks_crack_tooltip,[OUTDATED]the ground is cracked due to mine instability,,,,,
,,,,,,
info_ui_residential_tax_income,Налоговый доход,,,,,
info_ui_residential_population,Население,,,,,
info_ui_residential_needs,Нужды,,,,,
info_ui_residential_happiness,Удовлетворенность:,,,,,
,,,,,,
info_ui_city_warehouse_admin_button,Администрирование,,,,,
info_ui_city_warehouse_statistics,Статистика,,,,,
info_ui_city_warehouse_simultaneous_deliveries,Одновременные поставки,,,,,
,,,,,,
info_ui_workshop_room_info_header,Информация о строении:,,,,,
info_ui_workshop_extractors_suported,Слоты Добытчика,,,,,
info_ui_workshop_next_extractor,"Разместите еще <color=#000C3A><u>+{0}</u></color> <color=#000C3A><u>Плиток</u></color>, чтобы получить <color=#000C3A><u>+{1}</u></color> Дополнительный слот для <color=#000C3A><u>Добытчика</u></color>.",,,,,
info_ui_workshop_turrets_suported,Слоты Турели,,,,,
info_ui_workshop_next_turret,"Разместите еще <color=#000C3A><u>+{0}</u></color> <color=#000C3A><u>Плиток</u></color>, чтобы получить <color=#000C3A><u>+{1}</u></color> Дополнительный слот для <color=#000C3A><u>Турели</u></color>.",,,,,
,,,,,,
info_ui_teleporter_go_to_twin_button,Следующий телепорт,,,,,
,,,,,,
toolbar_button_tooltip_forshadow_milestone_info,"Вам необходим {0} {1}, чтобы разблокировать эту функцию",,,,,
toolbar_button_tooltip_forshadow_blueprint_info,[OUTDATED]You need to reserach this blueprint in the Workshop Room,,,,,
,,,,,,
toolbar_button_tooltip_citizen_1_collection,Рабочие,,,,,
toolbar_button_tooltip_citizen_2_collection,Инженеры,,,,,
toolbar_button_tooltip_citizen_3_collection,Аристократы,,,,,
toolbar_button_tooltip_citizen_4_collection,Учёные,,,,,
toolbar_button_tooltip_citizen_uniques_collection_button,[[Уникальные]],,,,,
,,,,,,
toolbar_button_tooltip_burger_meister_button,Бургер Майстер,,,,,
toolbar_button_tooltip_cattle_farm_button,Скотоводческая ферма,,,,,
toolbar_button_tooltip_charcoal_kiln_button,Углевыжигательная печь,,,,,
toolbar_button_tooltip_decoration_cactus_button,Кактусы,,,,,
toolbar_button_tooltip_saloon_button,Бар,,,,,
toolbar_button_tooltip_worker_residential_button,Здание рабочих,,,,,
toolbar_button_tooltip_engineers_residential_button,Улучшение до инженеров,,,,,
toolbar_button_tooltip_scientist_residential_button,Здание учёных,,,,,
toolbar_button_tooltip_royalists_residential_button,Здание Аристоботов,,,,,
toolbar_button_tooltip_pickaxe_maker_button,Завод кирок,,,,,
toolbar_button_tooltip_forest_collector_button,Лесоповал,,,,,
toolbar_button_tooltip_moisture_farm_button,Ферма кактусов,,,,,
toolbar_button_tooltip_moonshiners_button,Лунник,,,,,
toolbar_button_tooltip_warehouse_button,Склад,,,,,
toolbar_button_tooltip_marketplace_button,Магазин,,,,,
toolbar_button_tooltip_service_shop_button,Ремонтный центр,,,,,
toolbar_button_tooltip_spare_parts_maker_button,Создатель компонентов,,,,,
toolbar_button_tooltip_steam_furnace_button,Паровая печь,,,,,
toolbar_button_tooltip_train_station_broken_button,Разрушенная желознодорожная станция ,,,,,
toolbar_button_tooltip_train_station_button,Железнодорожная станция,,,,,
toolbar_button_tooltip_room_button,Комнаты,,,,,
toolbar_button_tooltip_oil_refinery_button,Нефтепереработка,,,,,
toolbar_button_tooltip_miner_replicator_button,Репликатор шахтеров,,,,,
toolbar_button_tooltip_sickbay_button,Лазарет,,,,,
toolbar_button_tooltip_surveillance_room_button,Наблюдательный пункт,,,,,
toolbar_button_tooltip_workshop_button,Мастерская,,,,,
toolbar_button_tooltip_machine_collection,Станки,,,,,
toolbar_button_tooltip_gas_extractor,Добытчик газа,,,,,
toolbar_button_tooltip_oil_sand_extractor,Добытчик нефти,,,,,
toolbar_button_tooltip_radar_button,Радар,,,,,
toolbar_button_tooltip_scrap_extractor,Добытчик металлолома,,,,,
toolbar_button_tooltip_worm_repellant_tool,Прыгун,,,,,
toolbar_button_tooltip_simple_bridge_button,Мост,,,,,
toolbar_button_tooltip_simple_door_button,Ворота,,,,,
toolbar_button_tooltip_road_collection,Дороги,,,,,
toolbar_button_tooltip_dirt_road_button,Дорога,,,,,
toolbar_button_tooltip_paved_road_button,Асфальтированная дорога,,,,,
toolbar_button_tooltip_maglev_road_button,Маглевская дорога,,,,,
toolbar_button_tooltip_dig_tool_button,Инструмент Раскопок,,,,,
toolbar_button_tooltip_move_building_button,Инструмент перемещения,,,,,
toolbar_button_tooltip_remove_button,Инструмент удаления,,,,,
toolbar_button_tooltip_upgrade_button,Инструмент для улучшения,,,,,
toolbar_button_tooltip_notification,Уведомления,,,,,
toolbar_button_tooltip_mill_button,Пилорама,,,,,
toolbar_button_tooltip_ironium_extractor_button,Добытчик железа,,,,,
toolbar_button_tooltip_artist_button,Художественная мастерская,,,,,
toolbar_button_tooltip_black_powder_maker_button,Изготовитель пороха,,,,,
toolbar_button_tooltip_carburizing_plant_button,Карбюризационная установка,,,,,
toolbar_button_tooltip_diesel_plant_button,Дизельный завод,,,,,
toolbar_button_tooltip_gunsmith_button,Оружейник,,,,,
toolbar_button_tooltip_hatmaker_button,Шляпник,,,,,
toolbar_button_tooltip_polymerisation_plant_button,Полимеризационный завод,,,,,
toolbar_button_tooltip_retrofit_shop_button,Цех модернизации,,,,,
toolbar_button_tooltip_rocket_button,Ракетная конструкция,,,,,
toolbar_button_tooltip_rocket_fuel_processing_plant_button,Завод по переработке ракетного топлива,,,,,
toolbar_button_tooltip_sheet_metal_factory_button,Завод листового металла,,,,,
toolbar_button_tooltip_sulfur_distillery_button,Дистиллерия серы,,,,,
toolbar_button_tooltip_toolsmaker_button,Завод инструментов,,,,,
toolbar_button_tooltip_water_purifier_button,Водоочиститель,,,,,
toolbar_button_tooltip_wool_spinner_button,Прядильщик стеклянной ваты,,,,,
toolbar_button_tooltip_decor_skeleton_button,Скелет,,,,,
toolbar_button_tooltip_decor_house_ruin_1_button,Разрушенный дом 1,,,,,
toolbar_button_tooltip_decor_house_ruin_2_button,Разрушенный дом 2,,,,,
toolbar_button_tooltip_decor_house_ruin_3_button,Разрушенный дом 3,,,,,
toolbar_button_tooltip_decor_house_ruin_4_button,Разрушенный дом 4,,,,,
toolbar_button_tooltip_decor_house_ruin_5_button,Разрушенный дом 5,,,,,
toolbar_button_tooltip_decor_sign_1_button,Маленький знак,,,,,
toolbar_button_tooltip_decor_sign_2_button,Большой знак,,,,,
toolbar_button_tooltip_decor_windmill_button,Ветрянная мельница,,,,,
toolbar_button_tooltip_test_farm_1x1_button,Поле для растений,,,,,
toolbar_button_tooltip_test_farm_3x2_button,Поле для растений,,,,,
toolbar_button_tooltip_sand_sifting_factory_button,Завод по просеиванию песка,,,,,
toolbar_button_tooltip_glass_blower_button,Стеклодув,,,,,
toolbar_button_tooltip_fine_dining_service_button,Ресторан изысканной кухни,,,,,
toolbar_button_tooltip_gentle_bots_club_service_button,Казино,,,,,
toolbar_button_tooltip_police_service_button,Офис шерифа,,,,,
toolbar_button_tooltip_surveyor_office_button,Офис геодезиста,,,,,
toolbar_button_tooltip_wash_service_shop_button,Служба мойки,,,,,
toolbar_button_tooltip_waxing_shop_button,Магазин депиляции,,,,,
toolbar_button_tooltip_refill_tile_button,Заполнение плитки,,,,,
toolbar_button_tooltip_speed_vent_button,Скоростная вентиляция,,,,,
toolbar_button_tooltip_animal_collection,Животные,,,,,
toolbar_button_tooltip_foliage_collection,Растительность,,,,,
toolbar_button_tooltip_wall_collection,Стены,,,,,
toolbar_button_tooltip_garden_collection,Сад,,,,,
toolbar_button_tooltip_junk_collection,Хлам,,,,,
toolbar_button_tooltip_countryside_collection,Сельская местность,,,,,
toolbar_button_tooltip_park_collection,Парк,,,,,
toolbar_button_tooltip_structure_collection,Строения,,,,,
toolbar_button_tooltip_decoration_category,Декорации,,,,,
toolbar_button_tooltip_large_stuff_collider,Большие вещи,,,,,
toolbar_button_tooltip_vectron_lab_button,Лаборатория вектрона,,,,,
toolbar_button_tooltip_university_button,Университет,,,,,
toolbar_button_tooltip_observatory_button,Обсерватория,,,,,
toolbar_button_tooltip_lab_equipment_manufacturer_button,Производитель лабораторного оборудования,,,,,
toolbar_button_tooltip_sparkling_diesel_manufacturer_button,Производитель игристого дизельного топлива,,,,,
toolbar_button_tooltip_oil_paint_factory_button,Завод масляных красок,,,,,
toolbar_button_tooltip_infrastructure_button,Инфраструктура,,,,,
toolbar_button_tooltip_facilities_button,Удобства,,,,,
toolbar_button_tooltip_quarters_button,Станции,,,,,
toolbar_button_tooltip_miner_quarter_button,Станция шахтёров,,,,,
toolbar_button_tooltip_carrier_quarter_button,Станция разведчиков,,,,,
toolbar_button_tooltip_guard_quarter_button,Станция гвардии,,,,,
toolbar_button_tooltip_mechanic_quarter_button,Станция инженеров,,,,,
toolbar_button_tooltip_plastishroom_farm_button,Ферма пластика,,,,,
toolbar_button_tooltip_pillar_button,Опора,,,,,
toolbar_button_tooltip_dirty_water_extractor_button,Экстрактор грязной воды,,,,,
toolbar_button_tooltip_vectron_extractor_button,Экстрактор вектрона,,,,,
toolbar_button_tooltip_armoury_button,Оружейная фабрика,,,,,
toolbar_button_tooltip_floor_trap_button,Напольный капкан,,,,,
toolbar_button_tooltip_grenade_turret_button,Турель с гранатами,,,,,
toolbar_button_tooltip_laser_turret_button,Электрическая турель,,,,,
toolbar_button_tooltip_jetshroom_farm_button,Ферма Джетшрум,,,,,
toolbar_button_tooltip_teleport_button,Телепорт,,,,,
toolbar_button_tooltip_farms_button,Фермы,,,,,
toolbar_button_tooltip_grandcanyon_01_button,[[Гранд Каньон]],,,,,
toolbar_button_tooltip_hollywood_01_button,[[Голливуд]],,,,,
toolbar_button_tooltip_jurassicpark_01_button,[[Парк Юрского периода]],,,,,
toolbar_button_tooltip_lasvegas_01_button,[[Лас-Вегас]],,,,,
toolbar_button_tooltip_wildwest_01_button,[[Каньон Дикого Запада]],,,,,
,,,,,,
toolbar_tooltip_steam_explanation,"[OUTDATED]This is the Steam Efficiency bar. This shows if there is currently enough Steam to power the building. The higher the Steam Supply is, the more efficient the building will operate.",,,,,
info_ui_tooltip_resource_abundancy_explanation,Здесь показано насколько эффективно функционирует здание.,,,,,
info_ui_tooltip_output_storage,"Здесь показано, сколько ресурсов в настоящее время ожидает транспортировки на склад.",,,,,
info_ui_tooltip_input_storage,"Здесь показано, сколько ресурсов в настоящее время ожидают своего выхода.",,,,,
info_ui_tooltip_recipe_conversion_box,"Это показывает текущий ход строительства, а также текущую эффективность.",,,,,
info_ui_tooltip_worker_upkeep,"Здесь показано, сколько рабочих заняты в выбранном здании.",,,,,
info_ui_tooltip_money_upkeep,"Здесь показано, во сколько обходится содержание здания в рабочем состоянии.",,,,,
info_ui_tooltip_storage,Здесь отображается текущее хранение всех ваших ресурсов.,,,,,
info_ui_tooltip_happiness,Здесь показан текущий уровень удовлетворенности ваших граждан.,,,,,
info_ui_tooltip_needs,"Здесь показаны потребности ваших граждан. Убедитесь, что они довольны, чтобы развиваться.",,,,,
info_ui_tooltip_tax_income,Здесь показан текущий налоговый доход здания.,,,,,
info_ui_tooltip_residents,Здесь показано общее количество жителей проживающих в здании в настоящее время.,,,,,
info_ui_tooltip_stability,[OUTDATED]This shows the current stability of the city.,,,,,
info_ui_tooltip_active_radars,Здесь отображается текущее количество активных радаров.,,,,,
